Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
19,2026-07-10 17:14:22,gpt-5.4-mini,6044,0.004533,233,0.0010485,6277,0.0055815
20,2026-07-10 17:14:24,gpt-5.4-mini,1832,0.001374,60,0.00027,1892,0.001644
21,2026-07-10 17:14:25,gpt-5.4-mini,1835,0.00137625,57,0.0002565,1892,0.00163275
22,2026-07-10 17:14:27,gpt-5.4-mini,1831,0.00137325,68,0.000306,1899,0.00167925
23,2026-07-10 17:14:28,gpt-5.4-mini,1829,0.00137175,47,0.0002115,1876,0.00158325
24,2026-07-10 17:14:33,gpt-5.4-mini,5846,0.0043844999999999995,122,0.000549,5968,0.0049334999999999995
25,2026-07-10 17:14:34,gpt-5.4-mini,1827,0.00137025,56,0.000252,1883,0.00162225
26,2026-07-10 17:14:36,gpt-5.4-mini,1829,0.00137175,65,0.00029249999999999995,1894,0.00166425
27,2026-07-10 17:14:37,gpt-5.4-mini,1829,0.00137175,66,0.000297,1895,0.0016687499999999999
28,2026-07-10 17:14:39,gpt-5.4-mini,1825,0.00136875,55,0.0002475,1880,0.00161625
29,2026-07-10 17:14:40,gpt-5.4-mini,1824,0.001368,72,0.000324,1896,0.0016920000000000001
30,2026-07-10 17:14:56,gpt-5.4-mini,28398,0.021298499999999998,1630,0.0073349999999999995,30028,0.0286335
31,2026-07-10 17:19:21,gpt-5.4-mini,7515,0.00563625,217,0.0009764999999999999,7732,0.00661275
32,2026-07-10 17:19:22,gpt-5.4-mini,2457,0.00184275,64,0.000288,2521,0.00213075
33,2026-07-10 17:19:27,gpt-5.4-mini,2460,0.0018449999999999999,69,0.0003105,2529,0.0021555
34,2026-07-10 17:19:29,gpt-5.4-mini,2456,0.0018419999999999999,64,0.000288,2520,0.00213
35,2026-07-10 17:19:30,gpt-5.4-mini,2454,0.0018405000000000001,70,0.00031499999999999996,2524,0.0021555000000000003
36,2026-07-10 17:19:32,gpt-5.4-mini,2449,0.0018367499999999998,55,0.0002475,2504,0.0020842499999999997
37,2026-07-10 17:19:33,gpt-5.4-mini,2452,0.0018390000000000001,69,0.0003105,2521,0.0021495000000000004
38,2026-07-10 17:19:34,gpt-5.4-mini,2454,0.0018405000000000001,44,0.000198,2498,0.0020385
39,2026-07-10 17:19:36,gpt-5.4-mini,2454,0.0018405000000000001,64,0.000288,2518,0.0021285
40,2026-07-10 17:19:37,gpt-5.4-mini,2450,0.0018375,43,0.00019350000000000001,2493,0.002031
41,2026-07-10 17:19:38,gpt-5.4-mini,2449,0.0018367499999999998,67,0.0003015,2516,0.00213825
42,2026-07-10 17:19:58,gpt-5.4-mini,31643,0.023732249999999996,2352,0.010584,33995,0.03431624999999999
43,2026-07-10 17:20:11,gpt-5.4-mini,6185,0.0046387500000000005,254,0.001143,6439,0.00578175
44,2026-07-10 17:20:15,gpt-5.4-mini,5919,0.00443925,119,0.0005355000000000001,6038,0.00497475
45,2026-07-10 17:20:16,gpt-5.4-mini,1826,0.0013695,52,0.000234,1878,0.0016035
46,2026-07-10 17:20:21,gpt-5.4-mini,4170,0.0031275,108,0.000486,4278,0.0036135
47,2026-07-10 17:20:22,gpt-5.4-mini,1820,0.001365,69,0.0003105,1889,0.0016755
48,2026-07-10 17:20:24,gpt-5.4-mini,1815,0.00136125,71,0.0003195,1886,0.00168075
49,2026-07-10 17:20:25,gpt-5.4-mini,1818,0.0013635,52,0.000234,1870,0.0015975
50,2026-07-10 17:20:27,gpt-5.4-mini,1820,0.001365,51,0.0002295,1871,0.0015945
51,2026-07-10 17:20:28,gpt-5.4-mini,1820,0.001365,51,0.0002295,1871,0.0015945
52,2026-07-10 17:20:29,gpt-5.4-mini,1816,0.001362,56,0.000252,1872,0.001614
53,2026-07-10 17:20:30,gpt-5.4-mini,1815,0.00136125,62,0.000279,1877,0.00164025
54,2026-07-10 17:20:49,gpt-5.4-mini,34153,0.025614750000000002,1628,0.007326000000000001,35781,0.032940750000000005
55,2026-07-10 17:20:59,gpt-5.4-mini,6728,0.005046,199,0.0008955,6927,0.005941500000000001
56,2026-07-10 17:21:00,gpt-5.4-mini,1857,0.0013927499999999999,49,0.0002205,1906,0.0016132499999999999
57,2026-07-10 17:21:01,gpt-5.4-mini,1860,0.001395,63,0.0002835,1923,0.0016784999999999999
58,2026-07-10 17:21:08,gpt-5.4-mini,4528,0.0033959999999999997,126,0.000567,4654,0.0039629999999999995
59,2026-07-10 17:21:09,gpt-5.4-mini,1854,0.0013905,58,0.000261,1912,0.0016515
60,2026-07-10 17:21:10,gpt-5.4-mini,1849,0.00138675,66,0.000297,1915,0.00168375
61,2026-07-10 17:21:12,gpt-5.4-mini,1852,0.001389,51,0.0002295,1903,0.0016185000000000001
62,2026-07-10 17:21:13,gpt-5.4-mini,1854,0.0013905,67,0.0003015,1921,0.001692
63,2026-07-10 17:21:15,gpt-5.4-mini,1854,0.0013905,78,0.00035099999999999997,1932,0.0017415
64,2026-07-10 17:21:16,gpt-5.4-mini,1850,0.0013875,57,0.0002565,1907,0.001644
65,2026-07-10 17:21:17,gpt-5.4-mini,1849,0.00138675,46,0.000207,1895,0.00159375
66,2026-07-10 17:21:33,gpt-5.4-mini,33662,0.025246499999999998,1599,0.0071955,35261,0.032442
67,2026-07-10 17:22:00,gpt-5.4-mini,2277,0.00170775,208,0.000936,2485,0.0026437500000000003
68,2026-07-10 17:22:05,gpt-5.4-mini,5436,0.004077,95,0.00042750000000000004,5531,0.0045045
69,2026-07-10 17:22:06,gpt-5.4-mini,2044,0.0015329999999999999,58,0.000261,2102,0.0017939999999999998
70,2026-07-10 17:22:07,gpt-5.4-mini,2040,0.0015300000000000001,83,0.00037349999999999997,2123,0.0019035
71,2026-07-10 17:22:09,gpt-5.4-mini,2038,0.0015285,82,0.000369,2120,0.0018974999999999999
72,2026-07-10 17:22:10,gpt-5.4-mini,2033,0.00152475,67,0.0003015,2100,0.0018262500000000002
73,2026-07-10 17:22:11,gpt-5.4-mini,2036,0.0015270000000000001,56,0.000252,2092,0.0017790000000000002
74,2026-07-10 17:22:13,gpt-5.4-mini,2038,0.0015285,132,0.000594,2170,0.0021225
75,2026-07-10 17:22:15,gpt-5.4-mini,2038,0.0015285,55,0.0002475,2093,0.0017759999999999998
76,2026-07-10 17:22:16,gpt-5.4-mini,2034,0.0015255,41,0.0001845,2075,0.00171
77,2026-07-10 17:22:17,gpt-5.4-mini,2033,0.00152475,64,0.000288,2097,0.0018127500000000001
78,2026-07-10 17:22:32,gpt-5.4-mini,26691,0.02001825,1462,0.006579,28153,0.026597250000000003
79,2026-07-10 17:22:36,gpt-5.4-mini,1641,0.00123075,134,0.000603,1775,0.00183375
80,2026-07-10 17:22:38,gpt-5.4-mini,1405,0.00105375,66,0.000297,1471,0.00135075
81,2026-07-10 17:22:39,gpt-5.4-mini,1408,0.001056,51,0.0002295,1459,0.0012855000000000002
82,2026-07-10 17:22:40,gpt-5.4-mini,1404,0.0010530000000000001,64,0.000288,1468,0.0013410000000000002
83,2026-07-10 17:22:42,gpt-5.4-mini,1402,0.0010515,73,0.0003285,1475,0.00138
84,2026-07-10 17:22:43,gpt-5.4-mini,1397,0.00104775,50,0.00022500000000000002,1447,0.00127275
85,2026-07-10 17:22:44,gpt-5.4-mini,1400,0.00105,52,0.000234,1452,0.001284
86,2026-07-10 17:22:46,gpt-5.4-mini,1402,0.0010515,68,0.000306,1470,0.0013575
87,2026-07-10 17:22:47,gpt-5.4-mini,1402,0.0010515,79,0.00035549999999999997,1481,0.0014069999999999998
88,2026-07-10 17:22:48,gpt-5.4-mini,1398,0.0010485,56,0.000252,1454,0.0013005
89,2026-07-10 17:22:50,gpt-5.4-mini,1397,0.00104775,56,0.000252,1453,0.0012997500000000001
90,2026-07-10 17:23:02,gpt-5.4-mini,12651,0.00948825,606,0.002727,13257,0.01221525
91,2026-07-10 17:23:08,gpt-5.4-mini,8414,0.0063105,370,0.001665,8784,0.0079755
92,2026-07-10 17:23:39,gpt-5.4-mini,8677,0.0065077500000000005,263,0.0011835,8940,0.00769125
93,2026-07-10 17:23:41,gpt-5.4-mini,2095,0.0015712500000000002,70,0.00031499999999999996,2165,0.0018862500000000001
94,2026-07-10 17:23:45,gpt-5.4-mini,6717,0.00503775,135,0.0006075,6852,0.005645249999999999
95,2026-07-10 17:23:51,gpt-5.4-mini,8562,0.0064215,108,0.000486,8670,0.0069075000000000004
96,2026-07-10 17:23:53,gpt-5.4-mini,2091,0.00156825,58,0.000261,2149,0.00182925
97,2026-07-10 17:23:58,gpt-5.4-mini,6772,0.005079,171,0.0007695,6943,0.0058485
98,2026-07-10 17:23:59,gpt-5.4-mini,2092,0.001569,69,0.0003105,2161,0.0018795
99,2026-07-10 17:24:01,gpt-5.4-mini,2092,0.001569,64,0.000288,2156,0.0018570000000000001
100,2026-07-10 17:24:02,gpt-5.4-mini,2092,0.001569,60,0.00027,2152,0.0018390000000000001
101,2026-07-10 17:24:04,gpt-5.4-mini,2094,0.0015704999999999998,63,0.0002835,2157,0.0018539999999999997
102,2026-07-10 17:24:06,gpt-5.4-mini,2086,0.0015645000000000001,57,0.0002565,2143,0.0018210000000000001
103,2026-07-10 17:24:08,gpt-5.4-mini,2103,0.0015772499999999999,59,0.0002655,2162,0.0018427499999999998
104,2026-07-10 17:24:21,gpt-5.4-mini,17554,0.0131655,1573,0.0070785,19127,0.020243999999999998
105,2026-07-10 17:27:58,gpt-5.4-mini,2801,0.00210075,178,0.000801,2979,0.0029017500000000002
106,2026-07-10 17:27:59,gpt-5.4-mini,2529,0.00189675,70,0.00031499999999999996,2599,0.00221175
107,2026-07-10 17:28:04,gpt-5.4-mini,6800,0.0050999999999999995,125,0.0005625000000000001,6925,0.005662499999999999
108,2026-07-10 17:28:05,gpt-5.4-mini,2529,0.00189675,56,0.000252,2585,0.00214875
109,2026-07-10 17:28:06,gpt-5.4-mini,2525,0.00189375,62,0.000279,2587,0.00217275
110,2026-07-10 17:28:08,gpt-5.4-mini,2528,0.001896,60,0.00027,2588,0.002166
111,2026-07-10 17:28:09,gpt-5.4-mini,2526,0.0018945,62,0.000279,2588,0.0021735
112,2026-07-10 17:28:10,gpt-5.4-mini,2526,0.0018945,62,0.000279,2588,0.0021735
113,2026-07-10 17:28:12,gpt-5.4-mini,2526,0.0018945,74,0.00033299999999999996,2600,0.0022275
114,2026-07-10 17:28:14,gpt-5.4-mini,2528,0.001896,48,0.000216,2576,0.0021119999999999997
115,2026-07-10 17:28:16,gpt-5.4-mini,2520,0.0018900000000000002,66,0.000297,2586,0.002187
116,2026-07-10 17:28:18,gpt-5.4-mini,2537,0.0019027500000000001,83,0.00037349999999999997,2620,0.00227625
117,2026-07-10 17:28:33,gpt-5.4-mini,15013,0.01125975,1868,0.008406,16881,0.019665750000000003
118,2026-07-10 17:32:10,gpt-5.4-mini,3184,0.0023880000000000004,24,0.000108,3208,0.0024960000000000004
119,2026-07-10 17:32:12,gpt-5.4-mini,2912,0.002184,87,0.00039150000000000003,2999,0.0025755
120,2026-07-10 17:32:13,gpt-5.4-mini,2916,0.002187,56,0.000252,2972,0.002439
121,2026-07-10 17:32:14,gpt-5.4-mini,2912,0.002184,54,0.000243,2966,0.0024270000000000003
122,2026-07-10 17:32:16,gpt-5.4-mini,2908,0.0021809999999999998,63,0.0002835,2971,0.0024644999999999997
123,2026-07-10 17:32:17,gpt-5.4-mini,2911,0.00218325,72,0.000324,2983,0.00250725
124,2026-07-10 17:32:19,gpt-5.4-mini,2909,0.00218175,51,0.0002295,2960,0.00241125
125,2026-07-10 17:32:24,gpt-5.4-mini,6546,0.0049095,124,0.000558,6670,0.0054675
126,2026-07-10 17:32:25,gpt-5.4-mini,2909,0.00218175,54,0.000243,2963,0.0024247500000000003
127,2026-07-10 17:32:27,gpt-5.4-mini,2911,0.00218325,51,0.0002295,2962,0.00241275
128,2026-07-10 17:32:28,gpt-5.4-mini,2903,0.0021772500000000004,55,0.0002475,2958,0.0024247500000000003
129,2026-07-10 17:32:30,gpt-5.4-mini,2920,0.00219,71,0.0003195,2991,0.0025095
130,2026-07-10 17:32:34,gpt-5.4-mini,2862,0.0021465,509,0.0022905,3371,0.004437
SUMMARIZED,-,-,625846,0.4693845000000002,28710,0.12919499999999998,654556,0.5985794999999999
