Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
72,2026-06-03 12:21:13,gpt-5.4,9370,0.023425,94,0.00141,9464,0.024835000000000003
73,2026-06-03 12:21:15,gpt-5.4,3558,0.008895,69,0.001035,3627,0.00993
74,2026-06-03 12:21:16,gpt-5.4,3572,0.00893,59,0.0008849999999999999,3631,0.009815
75,2026-06-03 12:22:08,gpt-5.4,26768,0.06692000000000001,3758,0.05637,30526,0.12329000000000001
76,2026-06-03 12:28:25,gpt-5.4,4429,0.011072499999999999,24,0.00036,4453,0.011432499999999998
77,2026-06-03 12:28:32,gpt-5.4,12530,0.031325,139,0.002085,12669,0.033409999999999995
78,2026-06-03 12:28:34,gpt-5.4,4389,0.0109725,69,0.001035,4458,0.012007499999999999
79,2026-06-03 12:28:35,gpt-5.4,4394,0.010985000000000002,50,0.00075,4444,0.011735000000000002
80,2026-06-03 12:28:37,gpt-5.4,4392,0.01098,52,0.00078,4444,0.01176
81,2026-06-03 12:28:44,gpt-5.4,10537,0.026342499999999998,116,0.00174,10653,0.028082499999999996
82,2026-06-03 12:28:50,gpt-5.4,10724,0.026809999999999997,136,0.00204,10860,0.028849999999999997
83,2026-06-03 12:28:56,gpt-5.4,11147,0.027867500000000003,138,0.00207,11285,0.029937500000000002
84,2026-06-03 12:29:03,gpt-5.4,12004,0.030010000000000002,186,0.00279,12190,0.0328
85,2026-06-03 12:29:09,gpt-5.4,10577,0.0264425,125,0.001875,10702,0.028317500000000002
86,2026-06-03 12:29:11,gpt-5.4,4392,0.01098,53,0.000795,4445,0.011775
87,2026-06-03 12:29:13,gpt-5.4,4393,0.010982500000000001,48,0.00072,4441,0.011702500000000001
88,2026-06-03 12:29:15,gpt-5.4,4407,0.011017500000000001,63,0.000945,4470,0.011962500000000001
89,2026-06-03 12:30:16,gpt-5.4,43579,0.1089475,4623,0.069345,48202,0.17829250000000002
90,2026-06-03 12:31:01,gpt-5.4,13098,0.032745,3927,0.058905,17025,0.09165000000000001
91,2026-06-03 12:31:11,gpt-5.4,10652,0.02663,266,0.0039900000000000005,10918,0.03062
92,2026-06-03 12:31:18,gpt-5.4,10030,0.025075,114,0.0017100000000000001,10144,0.026785
93,2026-06-03 12:31:24,gpt-5.4,9359,0.023397499999999998,115,0.001725,9474,0.0251225
94,2026-06-03 12:31:29,gpt-5.4,9372,0.02343,119,0.0017850000000000001,9491,0.025215
95,2026-06-03 12:31:37,gpt-5.4,9362,0.023405000000000002,131,0.001965,9493,0.025370000000000004
96,2026-06-03 12:31:42,gpt-5.4,9784,0.02446,114,0.0017100000000000001,9898,0.02617
97,2026-06-03 12:31:49,gpt-5.4,10037,0.025092500000000004,139,0.002085,10176,0.027177500000000004
98,2026-06-03 12:31:55,gpt-5.4,9382,0.023455,119,0.0017850000000000001,9501,0.02524
99,2026-06-03 12:32:01,gpt-5.4,10100,0.025249999999999998,143,0.002145,10243,0.027395
100,2026-06-03 12:32:08,gpt-5.4,9378,0.023444999999999997,138,0.00207,9516,0.025514999999999996
101,2026-06-03 12:32:14,gpt-5.4,9455,0.0236375,136,0.00204,9591,0.0256775
102,2026-06-03 12:32:16,gpt-5.4,3880,0.0097,61,0.000915,3941,0.010615
103,2026-06-03 12:32:18,gpt-5.4,3894,0.009735,73,0.001095,3967,0.010830000000000001
104,2026-06-03 12:32:32,gpt-5.4,4453,0.0111325,1089,0.016335,5542,0.0274675
SUMMARIZED,-,-,952521,2.3813025,39381,0.5907150000000001,991902,2.9720175000000006
